game_id,Team,Date,SeasonEnd,Type,Place,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,TF,PTS,OppPTS,has_lines,favorite,ML,Spread,Total
122,Indiana,2013-02-10,2013,REG,A,26,49,0.531,19,31,0.613,7,18,0.389,22,28,0.786,7,23,30,11,3,1,8,15,81,68,True,0.0,105.0,2.0,139.0
123,Indiana,2013-02-13,2013,REG,H,22,48,0.458,14,32,0.438,8,16,0.5,24,29,0.828,13,23,36,8,8,5,9,12,76,47,True,1.0,-16005.0,-24.0,135.0
124,Indiana,2013-02-16,2013,REG,H,30,54,0.556,22,35,0.629,8,19,0.421,15,24,0.625,11,26,37,16,10,7,14,18,83,55,True,1.0,-9405.0,-19.0,141.0
125,Indiana,2013-02-19,2013,REG,A,27,61,0.443,19,43,0.442,8,18,0.444,10,15,0.667,8,20,28,12,7,4,10,19,72,68,True,0.0,-105.0,1.0,140.0
126,Indiana,2013-02-26,2013,REG,A,22,52,0.423,13,29,0.448,9,23,0.391,20,24,0.833,8,17,25,12,6,4,10,22,73,77,True,1.0,-215.0,-5.0,139.0
127,Indiana,2013-03-02,2013,REG,H,21,54,0.389,19,40,0.475,2,14,0.143,29,42,0.69,13,20,33,10,11,6,12,25,73,60,True,1.0,-1375.0,-14.0,147.0
128,Indiana,2013-03-05,2013,REG,H,21,53,0.396,15,38,0.395,6,15,0.4,10,13,0.769,7,21,28,9,2,4,12,14,58,67,True,1.0,-375.0,-8.0,141.0
129,Indiana,2013-03-10,2013,REG,A,30,70,0.429,23,54,0.426,7,16,0.438,5,9,0.556,19,28,47,12,2,2,14,18,72,71,True,0.0,115.0,2.0,147.0
130,Indiana,2013-03-15,2013,CTOURN,N,27,50,0.54,22,33,0.667,5,17,0.294,21,24,0.875,9,24,33,16,9,6,13,19,80,64,True,1.0,-650.0,-10.0,140.0
131,Indiana,2013-03-16,2013,CTOURN,N,21,55,0.382,16,38,0.421,5,17,0.294,9,14,0.643,10,17,27,10,9,2,13,21,56,68,True,1.0,-280.0,-6.0,128.0
132,Indiana,2013-03-22,2013,NCAA,N,29,55,0.527,20,32,0.625,9,23,0.391,16,21,0.762,12,25,37,17,3,3,9,8,83,62,True,1.0,-8485.0,-22.0,137.0
133,Indiana,2013-03-24,2013,NCAA,N,19,45,0.422,15,32,0.469,4,13,0.308,16,20,0.8,4,27,31,9,0,2,12,8,58,52,True,1.0,-1090.0,-13.0,148.0
134,Indiana,2013-03-28,2013,NCAA,N,16,47,0.34,13,32,0.406,3,15,0.2,15,24,0.625,10,20,30,8,6,2,17,18,50,61,True,1.0,-240.0,-5.0,136.0
135,Indiana,2013-11-08,2014,REG,H,27,59,0.458,26,51,0.51,1,8,0.125,45,55,0.818,15,41,56,8,3,13,19,20,100,72,False,,,,
136,Indiana,2013-11-12,2014,REG,H,27,71,0.38,20,45,0.444,7,26,0.269,12,17,0.706,20,24,44,13,7,2,13,22,73,72,False,,,,
137,Indiana,2013-11-15,2014,REG,H,36,63,0.571,30,48,0.625,6,15,0.4,27,41,0.659,16,36,52,9,10,10,13,17,105,59,True,1.0,-3700.0,-20.0,156.0
138,Indiana,2013-11-17,2014,REG,H,27,54,0.5,21,37,0.568,6,17,0.353,30,49,0.612,13,29,42,9,7,9,17,23,90,74,True,1.0,-1005.0,-13.0,146.0
139,Indiana,2013-11-21,2014,REG,N,34,66,0.515,31,53,0.585,3,13,0.231,31,36,0.861,14,24,38,16,4,4,12,23,102,84,True,1.0,-450.0,-9.0,170.0
140,Indiana,2013-11-22,2014,REG,N,20,49,0.408,17,37,0.459,3,12,0.25,15,22,0.682,11,21,32,10,4,1,19,17,58,59,True,0.0,130.0,3.0,160.0
141,Indiana,2013-11-26,2014,REG,H,24,59,0.407,20,43,0.465,4,16,0.25,25,35,0.714,17,39,56,12,8,7,16,22,77,46,True,1.0,-1305.0,-14.0,167.0
142,Indiana,2013-12-03,2014,REG,A,15,41,0.366,11,27,0.407,4,14,0.286,18,24,0.75,9,17,26,6,4,4,14,19,52,69,True,0.0,280.0,7.0,144.0
143,Indiana,2013-12-07,2014,REG,H,32,69,0.464,26,51,0.51,6,18,0.333,19,28,0.679,15,33,48,17,9,4,11,17,89,68,True,1.0,-10025.0,-23.0,151.0
144,Indiana,2013-12-10,2014,REG,H,30,60,0.5,21,39,0.538,9,21,0.429,12,17,0.706,12,39,51,14,6,3,16,15,81,54,True,1.0,-1795.0,-17.0,157.0
145,Indiana,2013-12-14,2014,REG,N,26,63,0.413,19,43,0.442,7,20,0.35,13,16,0.813,11,20,31,15,8,4,13,22,72,79,True,1.0,-170.0,-4.0,151.0
