G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena
16,2017-01-07,2017,REG,Indiana,Illinois,Big Ten,96,80,True,,11,5,W 1,Assembly Hall
17,2017-01-10,2017,REG,Indiana,Maryland,Big Ten,72,75,False,,11,6,L 1,Xfinity Center
18,2017-01-15,2017,REG,Indiana,Rutgers,Big Ten,76,57,True,,12,6,W 1,Assembly Hall
19,2017-01-18,2017,REG,Indiana,Penn State,Big Ten,78,75,True,,13,6,W 2,Bryce Jordan Center
20,2017-01-21,2017,REG,Indiana,Michigan State,Big Ten,82,75,True,,14,6,W 3,Assembly Hall
21,2017-01-26,2017,REG,Indiana,Michigan,Big Ten,60,90,False,,14,7,L 1,Crisler Arena
22,2017-01-29,2017,REG,Indiana,Northwestern,Big Ten,55,68,False,,14,8,L 2,Welsh-Ryan Arena
23,2017-02-01,2017,REG,Indiana,Penn State,Big Ten,110,102,True,3OT,15,8,W 1,Assembly Hall
24,2017-02-05,2017,REG,Indiana,Wisconsin,Big Ten,60,65,False,,15,9,L 1,Kohl Center
25,2017-02-09,2017,REG,Indiana,Purdue,Big Ten,64,69,False,,15,10,L 2,Assembly Hall
26,2017-02-12,2017,REG,Indiana,Michigan,Big Ten,63,75,False,,15,11,L 3,Assembly Hall
27,2017-02-15,2017,REG,Indiana,Minnesota,Big Ten,74,75,False,,15,12,L 4,Williams Arena
28,2017-02-21,2017,REG,Indiana,Iowa,Big Ten,90,96,False,OT,15,13,L 5,Carver-Hawkeye Arena
29,2017-02-25,2017,REG,Indiana,Northwestern,Big Ten,63,62,True,,16,13,W 1,Assembly Hall
30,2017-02-28,2017,REG,Indiana,Purdue,Big Ten,75,86,False,,16,14,L 1,Mackey Arena
31,2017-03-04,2017,REG,Indiana,Ohio State,Big Ten,96,92,True,,17,14,W 1,Value City Arena
32,2017-03-09,2017,CTOURN,Indiana,Iowa,Big Ten,95,73,True,,18,14,W 2,Verizon Center
33,2017-03-10,2017,CTOURN,Indiana,Wisconsin,Big Ten,60,70,False,,18,15,L 1,Verizon Center
34,2017-03-14,2017,NIT,Indiana,Georgia Tech,ACC,63,75,False,,18,16,L 2,McCamish Pavilion
1,2017-11-10,2018,REG,Indiana,Indiana State,MVC,69,90,False,,0,1,L 1,Assembly Hall
2,2017-11-12,2018,REG,Indiana,Howard,MEAC,86,77,True,,1,1,W 1,Assembly Hall
3,2017-11-15,2018,REG,Indiana,Seton Hall,Big East,68,84,False,,1,2,L 1,Prudential Center
4,2017-11-19,2018,REG,Indiana,South Florida,AAC,70,53,True,,2,2,W 1,Assembly Hall
5,2017-11-22,2018,REG,Indiana,Arkansas State,Sun Belt,87,70,True,,3,2,W 2,Assembly Hall
6,2017-11-24,2018,REG,Indiana,Eastern Michigan,MAC,87,67,True,,4,2,W 3,Assembly Hall
7,2017-11-29,2018,REG,Indiana,Duke,ACC,81,91,False,,4,3,L 1,Assembly Hall
8,2017-12-02,2018,REG,Indiana,Michigan,Big Ten,55,69,False,,4,4,L 2,Crisler Arena
9,2017-12-04,2018,REG,Indiana,Iowa,Big Ten,77,64,True,,5,4,W 1,Assembly Hall
10,2017-12-09,2018,REG,Indiana,Louisville,ACC,62,71,False,,5,5,L 1,KFC Yum! Center
11,2017-12-16,2018,REG,Indiana,Notre Dame,ACC,80,77,True,OT,6,5,W 1,Bankers Life Fieldhouse
12,2017-12-18,2018,REG,Indiana,Purdue-Fort Wayne,Summit,72,92,False,,6,6,L 1,Assembly Hall
13,2017-12-21,2018,REG,Indiana,Tennessee Tech,OVC,87,59,True,,7,6,W 1,Assembly Hall
14,2017-12-29,2018,REG,Indiana,Youngstown State,Horizon,79,51,True,,8,6,W 2,Assembly Hall
15,2018-01-02,2018,REG,Indiana,Wisconsin,Big Ten,61,71,False,,8,7,L 1,Kohl Center
16,2018-01-06,2018,REG,Indiana,Minnesota,Big Ten,75,71,True,,9,7,W 1,Williams Arena
17,2018-01-09,2018,REG,Indiana,Penn State,Big Ten,74,70,True,,10,7,W 2,Assembly Hall
18,2018-01-14,2018,REG,Indiana,Northwestern,Big Ten,66,46,True,,11,7,W 3,Assembly Hall
19,2018-01-19,2018,REG,Indiana,Michigan State,Big Ten,57,85,False,,11,8,L 1,Breslin Events Center
20,2018-01-22,2018,REG,Indiana,Maryland,Big Ten,71,68,True,,12,8,W 1,Assembly Hall
21,2018-01-24,2018,REG,Indiana,Illinois,Big Ten,71,73,False,,12,9,L 1,State Farm Center
22,2018-01-28,2018,REG,Indiana,Purdue,Big Ten,67,74,False,,12,10,L 2,Assembly Hall
23,2018-01-30,2018,REG,Indiana,Ohio State,Big Ten,56,71,False,,12,11,L 3,Value City Arena
24,2018-02-03,2018,REG,Indiana,Michigan State,Big Ten,60,63,False,,12,12,L 4,Assembly Hall
25,2018-02-05,2018,REG,Indiana,Rutgers,Big Ten,65,43,True,,13,12,W 1,Louis Brown Athletic Center
26,2018-02-09,2018,REG,Indiana,Minnesota,Big Ten,80,56,True,,14,12,W 2,Assembly Hall
27,2018-02-14,2018,REG,Indiana,Illinois,Big Ten,78,68,True,,15,12,W 3,Assembly Hall
28,2018-02-17,2018,REG,Indiana,Iowa,Big Ten,84,82,True,,16,12,W 4,Carver-Hawkeye Arena
29,2018-02-20,2018,REG,Indiana,Nebraska,Big Ten,57,66,False,,16,13,L 1,Pinnacle Bank Arena
30,2018-02-23,2018,REG,Indiana,Ohio State,Big Ten,78,80,False,2OT,16,14,L 2,Assembly Hall
31,2018-03-01,2018,CTOURN,Indiana,Rutgers,Big Ten,69,76,False,,16,15,L 3,Madison Square Garden (IV)
1,2018-11-06,2019,REG,Indiana,Chicago State,WAC,104,55,True,,1,0,W 1,Assembly Hall
2,2018-11-09,2019,REG,Indiana,Montana State,Big Sky,80,35,True,,2,0,W 2,Assembly Hall
3,2018-11-14,2019,REG,Indiana,Marquette,Big East,96,73,True,,3,0,W 3,Assembly Hall
4,2018-11-18,2019,REG,Indiana,Arkansas,SEC,72,73,False,,3,1,L 1,Bud Walton Arena
5,2018-11-20,2019,REG,Indiana,Texas-Arlington,Sun Belt,78,64,True,,4,1,W 1,Assembly Hall
6,2018-11-23,2019,REG,Indiana,UC-Davis,Big West,76,62,True,,5,1,W 2,Assembly Hall
7,2018-11-27,2019,REG,Indiana,Duke,ACC,69,90,False,,5,2,L 1,Cameron Indoor Stadium
8,2018-12-01,2019,REG,Indiana,Northwestern,Big Ten,68,66,True,,6,2,W 1,Assembly Hall
9,2018-12-04,2019,REG,Indiana,Penn State,Big Ten,64,62,True,,7,2,W 2,Bryce Jordan Center
10,2018-12-08,2019,REG,Indiana,Louisville,ACC,68,67,True,,8,2,W 3,Assembly Hall
11,2018-12-15,2019,REG,Indiana,Butler,Big East,71,68,True,,9,2,W 4,Bankers Life Fieldhouse
12,2018-12-19,2019,REG,Indiana,Central Arkansas,Southland,86,53,True,,10,2,W 5,Assembly Hall
13,2018-12-22,2019,REG,Indiana,Jacksonville,A-Sun,94,64,True,,11,2,W 6,Assembly Hall
14,2019-01-03,2019,REG,Indiana,Illinois,Big Ten,73,65,True,,12,2,W 7,Assembly Hall
15,2019-01-06,2019,REG,Indiana,Michigan,Big Ten,63,74,False,,12,3,L 1,Crisler Arena
16,2019-01-11,2019,REG,Indiana,Maryland,Big Ten,75,78,False,,12,4,L 2,Xfinity Center
17,2019-01-14,2019,REG,Indiana,Nebraska,Big Ten,51,66,False,,12,5,L 3,Assembly Hall
18,2019-01-19,2019,REG,Indiana,Purdue,Big Ten,55,70,False,,12,6,L 4,Mackey Arena
19,2019-01-22,2019,REG,Indiana,Northwestern,Big Ten,66,73,False,,12,7,L 5,Welsh-Ryan Arena
20,2019-01-25,2019,REG,Indiana,Michigan,Big Ten,46,69,False,,12,8,L 6,Assembly Hall
21,2019-01-30,2019,REG,Indiana,Rutgers,Big Ten,58,66,False,,12,9,L 7,Louis Brown Athletic Center
22,2019-02-02,2019,REG,Indiana,Michigan State,Big Ten,79,75,True,OT,13,9,W 1,Breslin Events Center
23,2019-02-07,2019,REG,Indiana,Iowa,Big Ten,72,77,False,,13,10,L 1,Assembly Hall
24,2019-02-10,2019,REG,Indiana,Ohio State,Big Ten,52,55,False,,13,11,L 2,Assembly Hall
25,2019-02-16,2019,REG,Indiana,Minnesota,Big Ten,63,84,False,,13,12,L 3,Williams Arena
26,2019-02-19,2019,REG,Indiana,Purdue,Big Ten,46,48,False,,13,13,L 4,Assembly Hall
27,2019-02-22,2019,REG,Indiana,Iowa,Big Ten,70,76,False,OT,13,14,L 5,Carver-Hawkeye Arena
28,2019-02-26,2019,REG,Indiana,Wisconsin,Big Ten,75,73,True,2OT,14,14,W 1,Assembly Hall
29,2019-03-02,2019,REG,Indiana,Michigan State,Big Ten,63,62,True,,15,14,W 2,Assembly Hall
30,2019-03-07,2019,REG,Indiana,Illinois,Big Ten,92,74,True,,16,14,W 3,State Farm Center
31,2019-03-10,2019,REG,Indiana,Rutgers,Big Ten,89,73,True,,17,14,W 4,Assembly Hall
32,2019-03-14,2019,CTOURN,Indiana,Ohio State,Big Ten,75,79,False,,17,15,L 1,United Center
33,2019-03-19,2019,NIT,Indiana,Saint Francis (PA),NEC,89,72,True,,18,15,W 1,Assembly Hall
34,2019-03-23,2019,NIT,Indiana,Arkansas,SEC,63,60,True,,19,15,W 2,Assembly Hall
35,2019-03-26,2019,NIT,Indiana,Wichita State,AAC,63,73,False,,19,16,L 1,Assembly Hall
1,2019-11-05,2020,REG,Indiana,Western Illinois,Summit,98,65,True,,1,0,W 1,Assembly Hall
2,2019-11-09,2020,REG,Indiana,Portland State,Big Sky,85,74,True,,2,0,W 2,Assembly Hall
3,2019-11-12,2020,REG,Indiana,North Alabama,A-Sun,91,65,True,,3,0,W 3,Assembly Hall
4,2019-11-16,2020,REG,Indiana,Troy,Sun Belt,100,62,True,,4,0,W 4,Assembly Hall
5,2019-11-20,2020,REG,Indiana,Princeton,Ivy,79,54,True,,5,0,W 5,Assembly Hall
6,2019-11-25,2020,REG,Indiana,Louisiana Tech,CUSA,88,75,True,,6,0,W 6,Assembly Hall
7,2019-11-30,2020,REG,Indiana,South Dakota State,Summit,64,50,True,,7,0,W 7,Assembly Hall
8,2019-12-03,2020,REG,Indiana,Florida State,ACC,80,64,True,,8,0,W 8,Assembly Hall
9,2019-12-07,2020,REG,Indiana,Wisconsin,Big Ten,64,84,False,,8,1,L 1,Kohl Center
10,2019-12-10,2020,REG,Indiana,Connecticut,AAC,57,54,True,,9,1,W 1,Madison Square Garden (IV)
11,2019-12-13,2020,REG,Indiana,Nebraska,Big Ten,96,90,True,OT,10,1,W 2,Assembly Hall
12,2019-12-21,2020,REG,Indiana,Notre Dame,ACC,62,60,True,,11,1,W 3,Bankers Life Fieldhouse
13,2019-12-29,2020,REG,Indiana,Arkansas,SEC,64,71,False,,11,2,L 1,Assembly Hall
14,2020-01-04,2020,REG,Indiana,Maryland,Big Ten,59,75,False,,11,3,L 2,Xfinity Center
15,2020-01-08,2020,REG,Indiana,Northwestern,Big Ten,66,62,True,,12,3,W 1,Assembly Hall
16,2020-01-11,2020,REG,Indiana,Ohio State,Big Ten,66,54,True,,13,3,W 2,Assembly Hall
17,2020-01-15,2020,REG,Indiana,Rutgers,Big Ten,50,59,False,,13,4,L 1,Rutgers Athletic Center
18,2020-01-18,2020,REG,Indiana,Nebraska,Big Ten,82,74,True,,14,4,W 1,Pinnacle Bank Arena
19,2020-01-23,2020,REG,Indiana,Michigan State,Big Ten,67,63,True,,15,4,W 2,Assembly Hall
20,2020-01-26,2020,REG,Indiana,Maryland,Big Ten,76,77,False,,15,5,L 1,Assembly Hall
21,2020-01-29,2020,REG,Indiana,Penn State,Big Ten,49,64,False,,15,6,L 2,Bryce Jordan Center
22,2020-02-01,2020,REG,Indiana,Ohio State,Big Ten,59,68,False,,15,7,L 3,Value City Arena
23,2020-02-08,2020,REG,Indiana,Purdue,Big Ten,62,74,False,,15,8,L 4,Assembly Hall
24,2020-02-13,2020,REG,Indiana,Iowa,Big Ten,89,77,True,,16,8,W 1,Assembly Hall
25,2020-02-16,2020,REG,Indiana,Michigan,Big Ten,65,89,False,,16,9,L 1,Crisler Arena
26,2020-02-19,2020,REG,Indiana,Minnesota,Big Ten,68,56,True,,17,9,W 1,Williams Arena
27,2020-02-23,2020,REG,Indiana,Penn State,Big Ten,68,60,True,,18,9,W 2,Assembly Hall
28,2020-02-27,2020,REG,Indiana,Purdue,Big Ten,49,57,False,,18,10,L 1,Mackey Arena
29,2020-03-01,2020,REG,Indiana,Illinois,Big Ten,66,67,False,,18,11,L 2,State Farm Center
30,2020-03-04,2020,REG,Indiana,Minnesota,Big Ten,72,67,True,,19,11,W 1,Assembly Hall
31,2020-03-07,2020,REG,Indiana,Wisconsin,Big Ten,56,60,False,,19,12,L 1,Assembly Hall
32,2020-03-11,2020,CTOURN,Indiana,Nebraska,Big Ten,89,64,True,,20,12,W 1,Bankers Life Fieldhouse
1,2020-11-25,2021,REG,Indiana,Tennessee Tech,OVC,89,59,True,,1,0,W 1,Assembly Hall
2,2020-11-30,2021,REG,Indiana,Providence,Big East,79,58,True,,2,0,W 2,U.S. Cellular Center
3,2020-12-01,2021,REG,Indiana,Texas,Big 12,44,66,False,,2,1,L 1,U.S. Cellular Center
4,2020-12-02,2021,REG,Indiana,Stanford,Pac-12,79,63,True,,3,1,W 1,U.S. Cellular Center
5,2020-12-09,2021,REG,Indiana,Florida State,ACC,67,69,False,OT,3,2,L 1,Donald L. Tucker Center
6,2020-12-13,2021,REG,Indiana,North Alabama,A-Sun,87,52,True,,4,2,W 1,Assembly Hall
7,2020-12-19,2021,REG,Indiana,Butler,Big East,68,60,True,,5,2,W 2,Bankers Life Fieldhouse
8,2020-12-23,2021,REG,Indiana,Northwestern,Big Ten,67,74,False,,5,3,L 1,Assembly Hall
9,2020-12-26,2021,REG,Indiana,Illinois,Big Ten,60,69,False,,5,4,L 2,State Farm Center
10,2020-12-30,2021,REG,Indiana,Penn State,Big Ten,87,85,True,OT,6,4,W 1,Assembly Hall
11,2021-01-04,2021,REG,Indiana,Maryland,Big Ten,63,55,True,,7,4,W 2,Assembly Hall
12,2021-01-07,2021,REG,Indiana,Wisconsin,Big Ten,73,80,False,2OT,7,5,L 1,Kohl Center
13,2021-01-10,2021,REG,Indiana,Nebraska,Big Ten,84,76,True,,8,5,W 1,Pinnacle Bank Arena
14,2021-01-14,2021,REG,Indiana,Purdue,Big Ten,69,81,False,,8,6,L 1,Assembly Hall
15,2021-01-21,2021,REG,Indiana,Iowa,Big Ten,81,69,True,,9,6,W 1,Carver-Hawkeye Arena
16,2021-01-24,2021,REG,Indiana,Rutgers,Big Ten,70,74,False,,9,7,L 1,Assembly Hall
17,2021-02-02,2021,REG,Indiana,Illinois,Big Ten,71,75,False,OT,9,8,L 2,Assembly Hall
18,2021-02-07,2021,REG,Indiana,Iowa,Big Ten,67,65,True,,10,8,W 1,Assembly Hall
19,2021-02-10,2021,REG,Indiana,Northwestern,Big Ten,79,76,True,2OT,11,8,W 2,Welsh-Ryan Arena
20,2021-02-13,2021,REG,Indiana,Ohio State,Big Ten,59,78,False,,11,9,L 1,Value City Arena
21,2021-02-17,2021,REG,Indiana,Minnesota,Big Ten,82,72,True,,12,9,W 1,Assembly Hall
22,2021-02-20,2021,REG,Indiana,Michigan State,Big Ten,71,78,False,,12,10,L 1,Assembly Hall
23,2021-02-24,2021,REG,Indiana,Rutgers,Big Ten,63,74,False,,12,11,L 2,Rutgers Athletic Center
24,2021-02-27,2021,REG,Indiana,Michigan,Big Ten,57,73,False,,12,12,L 3,Assembly Hall
25,2021-03-02,2021,REG,Indiana,Michigan State,Big Ten,58,64,False,,12,13,L 4,Breslin Events Center
26,2021-03-06,2021,REG,Indiana,Purdue,Big Ten,58,67,False,,12,14,L 5,Mackey Arena
27,2021-03-11,2021,CTOURN,Indiana,Rutgers,Big Ten,50,61,False,,12,15,L 6,Lucas Oil Stadium
1,2009-11-13,2010,REG,Maryland,Charleston Southern,Big South,89,51,True,,1,0,W 1,Comcast Center
2,2009-11-17,2010,REG,Maryland,Fairfield,MAAC,71,42,True,,2,0,W 2,Comcast Center
3,2009-11-20,2010,REG,Maryland,New Hampshire,AEC,82,55,True,,3,0,W 3,Comcast Center
4,2009-11-23,2010,REG,Maryland,Chaminade,,79,51,True,,4,0,W 4,Lahaina Civic Center
5,2009-11-24,2010,REG,Maryland,Cincinnati,Big East,57,69,False,,4,1,L 1,Lahaina Civic Center
6,2009-11-25,2010,REG,Maryland,Wisconsin,Big Ten,69,78,False,,4,2,L 2,Lahaina Civic Center
7,2009-12-01,2010,REG,Maryland,Indiana,Big Ten,80,68,True,,5,2,W 1,Assembly Hall
8,2009-12-06,2010,REG,Maryland,Villanova,Big East,86,95,False,,5,3,L 1,Verizon Center
9,2009-12-12,2010,REG,Maryland,Eastern Kentucky,OVC,83,72,True,,6,3,W 1,Comcast Center
10,2009-12-22,2010,REG,Maryland,Winston-Salem,MEAC,98,55,True,,7,3,W 2,Comcast Center
11,2009-12-27,2010,REG,Maryland,Florida Atlantic,Sun Belt,72,59,True,,8,3,W 3,Comcast Center
12,2009-12-30,2010,REG,Maryland,William & Mary,CAA,77,83,False,,8,4,L 1,Comcast Center
13,2010-01-03,2010,REG,Maryland,North Carolina-Greensboro,Southern,97,63,True,,9,4,W 1,Fleming Gymnasium
14,2010-01-10,2010,REG,Maryland,Florida State,ACC,77,68,True,,10,4,W 2,Comcast Center
15,2010-01-12,2010,REG,Maryland,Wake Forest,ACC,83,85,False,OT,10,5,L 1,Lawrence Joel Coliseum
16,2010-01-16,2010,REG,Maryland,Boston College,ACC,73,57,True,,11,5,W 1,Silvio O. Conte Forum
17,2010-01-19,2010,REG,Maryland,Longwood,Ind,106,55,True,,12,5,W 2,Comcast Center
18,2010-01-23,2010,REG,Maryland,North Carolina State,ACC,88,64,True,,13,5,W 3,Comcast Center
19,2010-01-26,2010,REG,Maryland,Miami (FL),ACC,81,59,True,,14,5,W 4,Comcast Center
20,2010-01-31,2010,REG,Maryland,Clemson,ACC,53,62,False,,14,6,L 1,Littlejohn Coliseum
21,2010-02-04,2010,REG,Maryland,Florida State,ACC,71,67,True,,15,6,W 1,Donald L. Tucker Center
22,2010-02-07,2010,REG,Maryland,North Carolina,ACC,92,71,True,,16,6,W 2,Comcast Center
23,2010-02-13,2010,REG,Maryland,Duke,ACC,56,77,False,,16,7,L 1,Cameron Indoor Stadium
24,2010-02-15,2010,REG,Maryland,Virginia,ACC,85,66,True,,17,7,W 1,Comcast Center
25,2010-02-17,2010,REG,Maryland,North Carolina State,ACC,67,58,True,,18,7,W 2,RBC Center
26,2010-02-20,2010,REG,Maryland,Georgia Tech,ACC,76,74,True,,19,7,W 3,Comcast Center
27,2010-02-24,2010,REG,Maryland,Clemson,ACC,88,79,True,,20,7,W 4,Comcast Center
28,2010-02-27,2010,REG,Maryland,Virginia Tech,ACC,104,100,True,2OT,21,7,W 5,Cassell Coliseum
29,2010-03-03,2010,REG,Maryland,Duke,ACC,79,72,True,,22,7,W 6,Comcast Center
30,2010-03-06,2010,REG,Maryland,Virginia,ACC,74,68,True,,23,7,W 7,John Paul Jones Arena
31,2010-03-12,2010,CTOURN,Maryland,Georgia Tech,ACC,64,69,False,,23,8,L 1,Greensboro Coliseum
32,2010-03-19,2010,NCAA,Maryland,Houston,CUSA,89,77,True,,24,8,W 1,Spokane Veterans Memorial Arena
33,2010-03-21,2010,NCAA,Maryland,Michigan State,Big Ten,83,85,False,,24,9,L 1,Spokane Veterans Memorial Arena
1,2010-11-08,2011,REG,Maryland,Seattle,Ind,105,76,True,,1,0,W 1,Comcast Center
2,2010-11-10,2011,REG,Maryland,College of Charleston,Southern,75,74,True,,2,0,W 2,Comcast Center
3,2010-11-14,2011,REG,Maryland,Maine,AEC,89,59,True,,3,0,W 3,Comcast Center
4,2010-11-18,2011,REG,Maryland,Pittsburgh,Big East,70,79,False,,3,1,L 1,Madison Square Garden (IV)
5,2010-11-19,2011,REG,Maryland,Illinois,Big Ten,76,80,False,,3,2,L 2,
6,2010-11-23,2011,REG,Maryland,Delaware State,MEAC,72,54,True,,4,2,W 1,Comcast Center
7,2010-11-26,2011,REG,Maryland,Elon,Southern,76,57,True,,5,2,W 2,Comcast Center
8,2010-12-01,2011,REG,Maryland,Penn State,Big Ten,62,39,True,,6,2,W 3,Bryce Jordan Center
9,2010-12-05,2011,REG,Maryland,Temple,A-10,61,64,False,,6,3,L 1,Comcast Center
10,2010-12-08,2011,REG,Maryland,North Carolina-Greensboro,Southern,99,56,True,,7,3,W 1,Comcast Center
11,2010-12-12,2011,REG,Maryland,Boston College,ACC,75,79,False,,7,4,L 1,Comcast Center
12,2010-12-22,2011,REG,Maryland,NJIT,GWC,89,50,True,,8,4,W 1,Comcast Center
13,2010-12-29,2011,REG,Maryland,North Florida,A-Sun,85,62,True,,9,4,W 2,Comcast Center
14,2011-01-04,2011,REG,Maryland,Colgate,Patriot,95,40,True,,10,4,W 3,Comcast Center
15,2011-01-09,2011,REG,Maryland,Duke,ACC,64,71,False,,10,5,L 1,Cameron Indoor Stadium
16,2011-01-12,2011,REG,Maryland,Wake Forest,ACC,74,55,True,,11,5,W 1,Lawrence Joel Coliseum
17,2011-01-15,2011,REG,Maryland,Villanova,Big East,66,74,False,,11,6,L 1,Wells Fargo Center
18,2011-01-20,2011,REG,Maryland,Virginia Tech,ACC,57,74,False,,11,7,L 2,Comcast Center
19,2011-01-22,2011,REG,Maryland,Clemson,ACC,79,77,True,,12,7,W 1,Comcast Center
20,2011-01-27,2011,REG,Maryland,Virginia,ACC,66,42,True,,13,7,W 2,John Paul Jones Arena
21,2011-01-30,2011,REG,Maryland,Georgia Tech,ACC,74,63,True,,14,7,W 3,Alexander Memorial Coliseum
22,2011-02-02,2011,REG,Maryland,Duke,ACC,62,80,False,,14,8,L 1,Comcast Center
23,2011-02-05,2011,REG,Maryland,Wake Forest,ACC,91,70,True,,15,8,W 1,Comcast Center
24,2011-02-09,2011,REG,Maryland,Longwood,Ind,106,52,True,,16,8,W 2,Comcast Center
25,2011-02-12,2011,REG,Maryland,Boston College,ACC,72,76,False,,16,9,L 1,Silvio O. Conte Forum
26,2011-02-15,2011,REG,Maryland,Virginia Tech,ACC,83,91,False,,16,10,L 2,Cassell Coliseum
27,2011-02-20,2011,REG,Maryland,North Carolina State,ACC,87,80,True,,17,10,W 1,Comcast Center
28,2011-02-23,2011,REG,Maryland,Florida State,ACC,78,62,True,,18,10,W 2,Comcast Center
29,2011-02-27,2011,REG,Maryland,North Carolina,ACC,76,87,False,,18,11,L 1,Dean Smith Center
30,2011-03-02,2011,REG,Maryland,Miami (FL),ACC,66,80,False,,18,12,L 2,BankUnited Center
31,2011-03-05,2011,REG,Maryland,Virginia,ACC,60,74,False,,18,13,L 3,Comcast Center
32,2011-03-10,2011,CTOURN,Maryland,North Carolina State,ACC,75,67,True,,19,13,W 1,
33,2011-03-11,2011,CTOURN,Maryland,Duke,ACC,71,87,False,,19,14,L 1,
1,2011-11-13,2012,REG,Maryland,North Carolina-Wilmington,CAA,71,62,True,,1,0,W 1,Comcast Center
2,2011-11-17,2012,REG,Maryland,Alabama,SEC,42,62,False,,1,1,L 1,Jos̩ Miguel Agrelot Coliseum
3,2011-11-18,2012,REG,Maryland,Colorado,Pac-12,78,71,True,,2,1,W 1,Jos̩ Miguel Agrelot Coliseum
4,2011-11-20,2012,REG,Maryland,Iona,MAAC,63,89,False,,2,2,L 1,Jos̩ Miguel Agrelot Coliseum
5,2011-11-25,2012,REG,Maryland,Florida Gulf Coast,A-Sun,73,67,True,,3,2,W 1,Comcast Center
6,2011-11-29,2012,REG,Maryland,Illinois,Big Ten,62,71,False,,3,3,L 1,Comcast Center
7,2011-12-04,2012,REG,Maryland,Notre Dame,Big East,78,71,True,,4,3,W 1,
8,2011-12-07,2012,REG,Maryland,Mount St. Mary's,NEC,77,74,True,,5,3,W 2,Comcast Center
9,2011-12-14,2012,REG,Maryland,Florida International,Sun Belt,65,61,True,,6,3,W 3,Comcast Center
10,2011-12-23,2012,REG,Maryland,Radford,Big South,65,60,True,,7,3,W 4,Comcast Center
11,2011-12-28,2012,REG,Maryland,Albany (NY),AEC,83,72,True,,8,3,W 5,Comcast Center
12,2011-12-31,2012,REG,Maryland,Samford,Southern,75,63,True,,9,3,W 6,Comcast Center
13,2012-01-03,2012,REG,Maryland,Cornell,Ivy,70,62,True,,10,3,W 7,Comcast Center
14,2012-01-08,2012,REG,Maryland,North Carolina State,ACC,74,79,False,,10,4,L 1,RBC Center
15,2012-01-11,2012,REG,Maryland,Wake Forest,ACC,70,64,True,,11,4,W 1,Comcast Center
16,2012-01-15,2012,REG,Maryland,Georgia Tech,ACC,61,50,True,,12,4,W 2,Comcast Center
17,2012-01-17,2012,REG,Maryland,Florida State,ACC,70,84,False,,12,5,L 1,Donald L. Tucker Center
18,2012-01-21,2012,REG,Maryland,Temple,A-10,60,73,False,,12,6,L 2,
19,2012-01-25,2012,REG,Maryland,Duke,ACC,61,74,False,,12,7,L 3,Comcast Center
20,2012-01-28,2012,REG,Maryland,Virginia Tech,ACC,73,69,True,,13,7,W 1,Comcast Center
21,2012-02-01,2012,REG,Maryland,Miami (FL),ACC,86,90,False,2OT,13,8,L 1,BankUnited Center
22,2012-02-04,2012,REG,Maryland,North Carolina,ACC,74,83,False,,13,9,L 2,Comcast Center
23,2012-02-07,2012,REG,Maryland,Clemson,ACC,64,62,True,,14,9,W 1,Littlejohn Coliseum
24,2012-02-11,2012,REG,Maryland,Duke,ACC,55,73,False,,14,10,L 1,Cameron Indoor Stadium
25,2012-02-16,2012,REG,Maryland,Boston College,ACC,81,65,True,,15,10,W 1,Comcast Center
26,2012-02-18,2012,REG,Maryland,Virginia,ACC,44,71,False,,15,11,L 1,John Paul Jones Arena
27,2012-02-21,2012,REG,Maryland,Miami (FL),ACC,75,70,True,,16,11,W 1,Comcast Center
28,2012-02-25,2012,REG,Maryland,Georgia Tech,ACC,61,63,False,,16,12,L 1,Philips Arena
29,2012-02-29,2012,REG,Maryland,North Carolina,ACC,64,88,False,,16,13,L 2,Dean Smith Center
30,2012-03-04,2012,REG,Maryland,Virginia,ACC,72,75,False,OT,16,14,L 3,Comcast Center
31,2012-03-08,2012,CTOURN,Maryland,Wake Forest,ACC,82,60,True,,17,14,W 1,
32,2012-03-09,2012,CTOURN,Maryland,North Carolina,ACC,69,85,False,,17,15,L 1,Philips Arena
1,2012-11-09,2013,REG,Maryland,Kentucky,SEC,69,72,False,,0,1,L 1,Barclays Center
2,2012-11-12,2013,REG,Maryland,Morehead State,OVC,67,45,True,,1,1,W 1,Comcast Center
3,2012-11-16,2013,REG,Maryland,Long Island University,NEC,91,74,True,,2,1,W 2,Comcast Center
4,2012-11-20,2013,REG,Maryland,Lafayette,Patriot,83,74,True,,3,1,W 3,Comcast Center
5,2012-11-24,2013,REG,Maryland,Georgia Southern,Southern,70,53,True,,4,1,W 4,Comcast Center
6,2012-11-27,2013,REG,Maryland,Northwestern,Big Ten,77,57,True,,5,1,W 5,Welsh-Ryan Arena
7,2012-12-02,2013,REG,Maryland,George Mason,CAA,69,62,True,,6,1,W 6,Verizon Center
8,2012-12-05,2013,REG,Maryland,Maryland-Eastern Shore,MEAC,100,68,True,,7,1,W 7,Comcast Center
9,2012-12-08,2013,REG,Maryland,South Carolina State,MEAC,61,46,True,,8,1,W 8,Comcast Center
10,2012-12-12,2013,REG,Maryland,Monmouth,NEC,71,38,True,,9,1,W 9,Comcast Center
11,2012-12-21,2013,REG,Maryland,Stony Brook,AEC,76,69,True,,10,1,W 10,Comcast Center
