,G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena,game_id,link
2193,9,2013-12-03,2014,REG,Penn State,Pittsburgh,ACC,69,78,False,,6,3,L 2,Petersen Events Center,1980,https://www.sports-reference.com/cbb/boxscores/2013-12-03-pittsburgh.html
2194,10,2013-12-07,2014,REG,Penn State,Marshall,CUSA,90,77,True,,7,3,W 1,Bryce Jordan Center,1981,https://www.sports-reference.com/cbb/boxscores/2013-12-07-penn-state.html
2195,11,2013-12-11,2014,REG,Penn State,Duquesne,A-10,68,59,True,,8,3,W 2,CONSOL Energy Center,1982,https://www.sports-reference.com/cbb/boxscores/2013-12-11-duquesne.html
2196,12,2013-12-14,2014,REG,Penn State,Princeton,Ivy,79,81,False,OT,8,4,L 1,Bryce Jordan Center,1983,https://www.sports-reference.com/cbb/boxscores/2013-12-14-penn-state.html
2197,13,2013-12-22,2014,REG,Penn State,Mount St. Mary's,NEC,92,82,True,,9,4,W 1,Bryce Jordan Center,1984,https://www.sports-reference.com/cbb/boxscores/2013-12-22-penn-state.html
2198,14,2013-12-31,2014,REG,Penn State,Michigan State,Big Ten,63,79,False,,9,5,L 1,Bryce Jordan Center,1313,https://www.sports-reference.com/cbb/boxscores/2013-12-31-penn-state.html
2199,15,2014-01-04,2014,REG,Penn State,Illinois,Big Ten,55,75,False,,9,6,L 2,Assembly Hall,1985,https://www.sports-reference.com/cbb/boxscores/2014-01-04-illinois.html
2200,16,2014-01-08,2014,REG,Penn State,Minnesota,Big Ten,65,68,False,,9,7,L 3,Bryce Jordan Center,1986,https://www.sports-reference.com/cbb/boxscores/2014-01-08-penn-state.html
2201,17,2014-01-11,2014,REG,Penn State,Indiana,Big Ten,76,79,False,,9,8,L 4,Bryce Jordan Center,150,https://www.sports-reference.com/cbb/boxscores/2014-01-11-penn-state.html
2202,18,2014-01-14,2014,REG,Penn State,Michigan,Big Ten,67,80,False,,9,9,L 5,Crisler Arena,931,https://www.sports-reference.com/cbb/boxscores/2014-01-14-michigan.html
2203,19,2014-01-18,2014,REG,Penn State,Purdue,Big Ten,64,65,False,,9,10,L 6,Mackey Arena,1987,https://www.sports-reference.com/cbb/boxscores/2014-01-18-purdue.html
2204,20,2014-01-23,2014,REG,Penn State,Nebraska,Big Ten,58,54,True,,10,10,W 1,Bryce Jordan Center,1988,https://www.sports-reference.com/cbb/boxscores/2014-01-23-penn-state.html
2205,21,2014-01-29,2014,REG,Penn State,Ohio State,Big Ten,71,70,True,OT,11,10,W 2,Value City Arena,1679,https://www.sports-reference.com/cbb/boxscores/2014-01-29-ohio-state.html
2206,22,2014-02-02,2014,REG,Penn State,Purdue,Big Ten,79,68,True,,12,10,W 3,Bryce Jordan Center,1989,https://www.sports-reference.com/cbb/boxscores/2014-02-02-penn-state.html
2207,23,2014-02-06,2014,REG,Penn State,Michigan State,Big Ten,67,82,False,,12,11,L 1,Breslin Events Center,1320,https://www.sports-reference.com/cbb/boxscores/2014-02-06-michigan-state.html
2208,24,2014-02-09,2014,REG,Penn State,Illinois,Big Ten,55,60,False,,12,12,L 2,Bryce Jordan Center,1990,https://www.sports-reference.com/cbb/boxscores/2014-02-09-penn-state.html
2209,25,2014-02-12,2014,REG,Penn State,Indiana,Big Ten,66,65,True,,13,12,W 1,Assembly Hall,158,https://www.sports-reference.com/cbb/boxscores/2014-02-12-indiana.html
2210,26,2014-02-15,2014,REG,Penn State,Iowa,Big Ten,70,82,False,,13,13,L 1,Bryce Jordan Center,1991,https://www.sports-reference.com/cbb/boxscores/2014-02-15-penn-state.html
2211,27,2014-02-20,2014,REG,Penn State,Nebraska,Big Ten,67,80,False,,13,14,L 2,Pinnacle Bank Arena,1992,https://www.sports-reference.com/cbb/boxscores/2014-02-20-nebraska.html
2212,28,2014-02-27,2014,REG,Penn State,Ohio State,Big Ten,65,63,True,,14,14,W 1,Bryce Jordan Center,1686,https://www.sports-reference.com/cbb/boxscores/2014-02-27-penn-state.html
2213,29,2014-03-02,2014,REG,Penn State,Wisconsin,Big Ten,66,71,False,,14,15,L 1,Bryce Jordan Center,1993,https://www.sports-reference.com/cbb/boxscores/2014-03-02-penn-state.html
2214,30,2014-03-06,2014,REG,Penn State,Northwestern,Big Ten,59,32,True,,15,15,W 1,Welsh-Ryan Arena,1994,https://www.sports-reference.com/cbb/boxscores/2014-03-06-northwestern.html
2215,31,2014-03-09,2014,REG,Penn State,Minnesota,Big Ten,63,81,False,,15,16,L 1,Williams Arena,1995,https://www.sports-reference.com/cbb/boxscores/2014-03-09-minnesota.html
2216,32,2014-03-13,2014,CTOURN,Penn State,Minnesota,Big Ten,56,63,False,,15,17,L 2,,1996,https://www.sports-reference.com/cbb/boxscores/2014-03-13-minnesota.html
2217,33,2014-03-19,2014,CBI,Penn State,Hampton,MEAC,69,65,True,,16,17,W 1,Bryce Jordan Center,1997,https://www.sports-reference.com/cbb/boxscores/2014-03-19-penn-state.html
2218,34,2014-03-24,2014,CBI,Penn State,Siena,MAAC,52,54,False,,16,18,L 1,Times Union Center,1998,https://www.sports-reference.com/cbb/boxscores/2014-03-24-siena.html
2219,1,2014-11-14,2015,REG,Penn State,Morgan State,MEAC,61,48,True,,1,0,W 1,Bryce Jordan Center,1999,https://www.sports-reference.com/cbb/boxscores/2014-11-14-penn-state.html
2220,2,2014-11-16,2015,REG,Penn State,Fordham,A-10,73,54,True,,2,0,W 2,Bryce Jordan Center,2000,https://www.sports-reference.com/cbb/boxscores/2014-11-16-penn-state.html
2221,3,2014-11-20,2015,REG,Penn State,Charlotte,CUSA,97,106,False,2OT,2,1,L 1,TD Arena,2001,https://www.sports-reference.com/cbb/boxscores/2014-11-20-charlotte.html
2222,4,2014-11-21,2015,REG,Penn State,Cornell,Ivy,72,71,True,,3,1,W 1,TD Arena,2002,https://www.sports-reference.com/cbb/boxscores/2014-11-21-cornell.html
2223,5,2014-11-23,2015,REG,Penn State,Southern California,Pac-12,63,61,True,,4,1,W 2,TD Arena,2003,https://www.sports-reference.com/cbb/boxscores/2014-11-23-penn-state.html
2224,6,2014-11-25,2015,REG,Penn State,Akron,MAC,78,72,True,,5,1,W 3,Bryce Jordan Center,2004,https://www.sports-reference.com/cbb/boxscores/2014-11-25-penn-state.html
2225,7,2014-11-28,2015,REG,Penn State,Bucknell,Patriot,88,80,True,,6,1,W 4,Sojka Pavilion,2005,https://www.sports-reference.com/cbb/boxscores/2014-11-28-bucknell.html
2226,8,2014-12-03,2015,REG,Penn State,Virginia Tech,ACC,61,58,True,,7,1,W 5,Bryce Jordan Center,2006,https://www.sports-reference.com/cbb/boxscores/2014-12-03-penn-state.html
2227,9,2014-12-06,2015,REG,Penn State,Marshall,CUSA,73,69,True,,8,1,W 6,Henderson Center,2007,https://www.sports-reference.com/cbb/boxscores/2014-12-06-marshall.html
2228,10,2014-12-10,2015,REG,Penn State,Duquesne,A-10,64,62,True,,9,1,W 7,Bryce Jordan Center,2008,https://www.sports-reference.com/cbb/boxscores/2014-12-10-penn-state.html
2229,11,2014-12-14,2015,REG,Penn State,George Washington,A-10,64,51,True,,10,1,W 8,Bryce Jordan Center,2009,https://www.sports-reference.com/cbb/boxscores/2014-12-14-penn-state.html
2230,12,2014-12-20,2015,REG,Penn State,Drexel,CAA,73,68,True,,11,1,W 9,PPL Center,2010,https://www.sports-reference.com/cbb/boxscores/2014-12-20-drexel.html
2231,13,2014-12-22,2015,REG,Penn State,Dartmouth,Ivy,69,49,True,,12,1,W 10,Bryce Jordan Center,2011,https://www.sports-reference.com/cbb/boxscores/2014-12-22-penn-state.html
2232,14,2014-12-31,2015,REG,Penn State,Wisconsin,Big Ten,72,89,False,,12,2,L 1,Kohl Center,2012,https://www.sports-reference.com/cbb/boxscores/2014-12-31-wisconsin.html
2233,15,2015-01-03,2015,REG,Penn State,Rutgers,Big Ten,46,50,False,,12,3,L 2,Louis Brown Athletic Center,2013,https://www.sports-reference.com/cbb/boxscores/2015-01-03-rutgers.html
2234,16,2015-01-06,2015,REG,Penn State,Michigan,Big Ten,64,73,False,,12,4,L 3,Bryce Jordan Center,965,https://www.sports-reference.com/cbb/boxscores/2015-01-06-penn-state.html
2235,17,2015-01-13,2015,REG,Penn State,Indiana,Big Ten,73,76,False,,12,5,L 4,Assembly Hall,183,https://www.sports-reference.com/cbb/boxscores/2015-01-13-indiana.html
2236,18,2015-01-17,2015,REG,Penn State,Purdue,Big Ten,77,84,False,OT,12,6,L 5,Bryce Jordan Center,2014,https://www.sports-reference.com/cbb/boxscores/2015-01-17-penn-state.html
2237,19,2015-01-21,2015,REG,Penn State,Michigan State,Big Ten,60,66,False,,12,7,L 6,Breslin Events Center,1349,https://www.sports-reference.com/cbb/boxscores/2015-01-21-michigan-state.html
2238,20,2015-01-24,2015,REG,Penn State,Rutgers,Big Ten,79,51,True,,13,7,W 1,Bryce Jordan Center,2015,https://www.sports-reference.com/cbb/boxscores/2015-01-24-penn-state.html
2239,21,2015-01-28,2015,REG,Penn State,Minnesota,Big Ten,63,58,True,,14,7,W 2,Bryce Jordan Center,2016,https://www.sports-reference.com/cbb/boxscores/2015-01-28-penn-state.html
2240,22,2015-01-31,2015,REG,Penn State,Illinois,Big Ten,58,60,False,,14,8,L 1,State Farm Center,2017,https://www.sports-reference.com/cbb/boxscores/2015-01-31-illinois.html
2241,23,2015-02-04,2015,REG,Penn State,Maryland,Big Ten,58,64,False,,14,9,L 2,Xfinity Center,583,https://www.sports-reference.com/cbb/boxscores/2015-02-04-maryland.html
2242,24,2015-02-07,2015,REG,Penn State,Nebraska,Big Ten,56,43,True,,15,9,W 1,Bryce Jordan Center,2018,https://www.sports-reference.com/cbb/boxscores/2015-02-07-penn-state.html
2243,25,2015-02-11,2015,REG,Penn State,Ohio State,Big Ten,55,75,False,,15,10,L 1,Value City Arena,1710,https://www.sports-reference.com/cbb/boxscores/2015-02-11-ohio-state.html
2244,26,2015-02-14,2015,REG,Penn State,Maryland,Big Ten,73,76,False,,15,11,L 2,Bryce Jordan Center,585,https://www.sports-reference.com/cbb/boxscores/2015-02-14-penn-state.html
2245,27,2015-02-18,2015,REG,Penn State,Wisconsin,Big Ten,47,55,False,,15,12,L 3,Bryce Jordan Center,2019,https://www.sports-reference.com/cbb/boxscores/2015-02-18-penn-state.html
2246,28,2015-02-21,2015,REG,Penn State,Northwestern,Big Ten,39,60,False,,15,13,L 4,Welsh-Ryan Arena,2020,https://www.sports-reference.com/cbb/boxscores/2015-02-21-northwestern.html
2247,29,2015-02-28,2015,REG,Penn State,Iowa,Big Ten,77,81,False,OT,15,14,L 5,Bryce Jordan Center,2021,https://www.sports-reference.com/cbb/boxscores/2015-02-28-penn-state.html
2248,30,2015-03-04,2015,REG,Penn State,Ohio State,Big Ten,67,77,False,,15,15,L 6,Bryce Jordan Center,1713,https://www.sports-reference.com/cbb/boxscores/2015-03-04-penn-state.html
2249,31,2015-03-08,2015,REG,Penn State,Minnesota,Big Ten,79,76,True,,16,15,W 1,Williams Arena,2022,https://www.sports-reference.com/cbb/boxscores/2015-03-08-minnesota.html
2250,32,2015-03-11,2015,CTOURN,Penn State,Nebraska,Big Ten,68,65,True,,17,15,W 2,United Center,2023,https://www.sports-reference.com/cbb/boxscores/2015-03-11-nebraska.html
2251,33,2015-03-12,2015,CTOURN,Penn State,Iowa,Big Ten,67,58,True,,18,15,W 3,United Center,2024,https://www.sports-reference.com/cbb/boxscores/2015-03-12-iowa.html
2252,34,2015-03-13,2015,CTOURN,Penn State,Purdue,Big Ten,59,64,False,,18,16,L 1,United Center,2025,https://www.sports-reference.com/cbb/boxscores/2015-03-13-penn-state.html
2253,1,2015-11-14,2016,REG,Penn State,Virginia Military Institute,Southern,62,50,True,,1,0,W 1,Bryce Jordan Center,2026,https://www.sports-reference.com/cbb/boxscores/2015-11-14-penn-state.html
2254,2,2015-11-17,2016,REG,Penn State,DePaul,Big East,68,62,True,,2,0,W 2,Bryce Jordan Center,2027,https://www.sports-reference.com/cbb/boxscores/2015-11-17-penn-state.html
2255,3,2015-11-20,2016,REG,Penn State,Duquesne,A-10,52,78,False,,2,1,L 1,CONSOL Energy Center,2028,https://www.sports-reference.com/cbb/boxscores/2015-11-20-duquesne.html
2256,4,2015-11-24,2016,REG,Penn State,Radford,Big South,74,86,False,,2,2,L 2,Bryce Jordan Center,2029,https://www.sports-reference.com/cbb/boxscores/2015-11-24-penn-state.html
2257,5,2015-11-28,2016,REG,Penn State,Bucknell,Patriot,62,58,True,,3,2,W 1,Bryce Jordan Center,2030,https://www.sports-reference.com/cbb/boxscores/2015-11-28-penn-state.html
2258,6,2015-12-02,2016,REG,Penn State,Boston College,ACC,67,58,True,,4,2,W 2,Silvio O. Conte Forum,2031,https://www.sports-reference.com/cbb/boxscores/2015-12-02-boston-college.html
2259,7,2015-12-05,2016,REG,Penn State,Eastern Michigan,MAC,81,70,True,,5,2,W 3,Bryce Jordan Center,2032,https://www.sports-reference.com/cbb/boxscores/2015-12-05-penn-state.html
2260,8,2015-12-08,2016,REG,Penn State,George Washington,A-10,66,76,False,,5,3,L 1,Charles E. Smith Center,2033,https://www.sports-reference.com/cbb/boxscores/2015-12-08-george-washington.html
2261,9,2015-12-10,2016,REG,Penn State,Canisius,MAAC,81,67,True,,6,3,W 1,Bryce Jordan Center,2034,https://www.sports-reference.com/cbb/boxscores/2015-12-10-penn-state.html
2262,10,2015-12-12,2016,REG,Penn State,Louisiana-Monroe,Sun Belt,54,50,True,,7,3,W 2,Bryce Jordan Center,2035,https://www.sports-reference.com/cbb/boxscores/2015-12-12-penn-state.html
2263,11,2015-12-19,2016,REG,Penn State,Drexel,CAA,63,57,True,,8,3,W 3,The Palestra,2036,https://www.sports-reference.com/cbb/boxscores/2015-12-19-drexel.html
2264,12,2015-12-22,2016,REG,Penn State,Colorado,Pac-12,70,71,False,,8,4,L 1,Orleans Arena,2037,https://www.sports-reference.com/cbb/boxscores/2015-12-22-penn-state.html
2265,13,2015-12-23,2016,REG,Penn State,Kent State,MAC,75,69,True,,9,4,W 1,Orleans Arena,2038,https://www.sports-reference.com/cbb/boxscores/2015-12-23-kent-state.html
2266,14,2015-12-30,2016,REG,Penn State,Maryland,Big Ten,64,70,False,,9,5,L 1,Xfinity Center,606,https://www.sports-reference.com/cbb/boxscores/2015-12-30-maryland.html
2267,15,2016-01-02,2016,REG,Penn State,Michigan,Big Ten,56,79,False,,9,6,L 2,Crisler Arena,995,https://www.sports-reference.com/cbb/boxscores/2016-01-02-michigan.html
2268,16,2016-01-05,2016,REG,Penn State,Minnesota,Big Ten,86,77,True,,10,6,W 1,Bryce Jordan Center,2039,https://www.sports-reference.com/cbb/boxscores/2016-01-05-penn-state.html
2269,17,2016-01-10,2016,REG,Penn State,Michigan State,Big Ten,65,92,False,,10,7,L 1,Bryce Jordan Center,1382,https://www.sports-reference.com/cbb/boxscores/2016-01-10-penn-state.html
2270,18,2016-01-13,2016,REG,Penn State,Purdue,Big Ten,57,74,False,,10,8,L 2,Mackey Arena,2040,https://www.sports-reference.com/cbb/boxscores/2016-01-13-purdue.html
2271,19,2016-01-16,2016,REG,Penn State,Northwestern,Big Ten,71,62,True,,11,8,W 1,Welsh-Ryan Arena,2041,https://www.sports-reference.com/cbb/boxscores/2016-01-16-northwestern.html
2272,20,2016-01-21,2016,REG,Penn State,Wisconsin,Big Ten,60,66,False,,11,9,L 1,Bryce Jordan Center,2042,https://www.sports-reference.com/cbb/boxscores/2016-01-21-penn-state.html
2273,21,2016-01-25,2016,REG,Penn State,Ohio State,Big Ten,46,66,False,,11,10,L 2,Value City Arena,1736,https://www.sports-reference.com/cbb/boxscores/2016-01-25-ohio-state.html
2274,22,2016-01-30,2016,REG,Penn State,Michigan,Big Ten,72,79,False,,11,11,L 3,Madison Square Garden (IV),1001,https://www.sports-reference.com/cbb/boxscores/2016-01-30-penn-state.html
2275,23,2016-02-03,2016,REG,Penn State,Iowa,Big Ten,49,73,False,,11,12,L 4,Carver-Hawkeye Arena,2043,https://www.sports-reference.com/cbb/boxscores/2016-02-03-iowa.html
2276,24,2016-02-06,2016,REG,Penn State,Indiana,Big Ten,68,63,True,,12,12,W 1,Bryce Jordan Center,224,https://www.sports-reference.com/cbb/boxscores/2016-02-06-penn-state.html
2277,25,2016-02-13,2016,REG,Penn State,Nebraska,Big Ten,54,70,False,,12,13,L 1,Pinnacle Bank Arena,2044,https://www.sports-reference.com/cbb/boxscores/2016-02-13-nebraska.html
2278,26,2016-02-17,2016,REG,Penn State,Iowa,Big Ten,79,75,True,,13,13,W 1,Bryce Jordan Center,2045,https://www.sports-reference.com/cbb/boxscores/2016-02-17-penn-state.html
2279,27,2016-02-20,2016,REG,Penn State,Rutgers,Big Ten,70,58,True,,14,13,W 2,Louis Brown Athletic Center,2046,https://www.sports-reference.com/cbb/boxscores/2016-02-20-rutgers.html
2280,28,2016-02-25,2016,REG,Penn State,Nebraska,Big Ten,56,55,True,,15,13,W 3,Bryce Jordan Center,2047,https://www.sports-reference.com/cbb/boxscores/2016-02-25-penn-state.html
2281,29,2016-02-28,2016,REG,Penn State,Michigan State,Big Ten,57,88,False,,15,14,L 1,Breslin Events Center,1391,https://www.sports-reference.com/cbb/boxscores/2016-02-28-michigan-state.html
2282,30,2016-03-03,2016,REG,Penn State,Northwestern,Big Ten,61,71,False,,15,15,L 2,Bryce Jordan Center,2048,https://www.sports-reference.com/cbb/boxscores/2016-03-03-penn-state.html
2283,31,2016-03-06,2016,REG,Penn State,Illinois,Big Ten,86,79,True,2OT,16,15,W 1,Bryce Jordan Center,2049,https://www.sports-reference.com/cbb/boxscores/2016-03-06-penn-state.html
2284,32,2016-03-10,2016,CTOURN,Penn State,Ohio State,Big Ten,75,79,False,,16,16,L 1,Bankers Life Fieldhouse,1743,https://www.sports-reference.com/cbb/boxscores/2016-03-10-ohio-state.html
2285,1,2016-11-11,2017,REG,Penn State,Albany (NY),AEC,81,87,False,,0,1,L 1,Bryce Jordan Center,2050,https://www.sports-reference.com/cbb/boxscores/2016-11-11-penn-state.html
2286,2,2016-11-13,2017,REG,Penn State,Duquesne,A-10,82,74,True,,1,1,W 1,Bryce Jordan Center,2051,https://www.sports-reference.com/cbb/boxscores/2016-11-13-penn-state.html
2287,3,2016-11-15,2017,REG,Penn State,Grand Canyon,WAC,85,76,True,,2,1,W 2,Bryce Jordan Center,2052,https://www.sports-reference.com/cbb/boxscores/2016-11-15-penn-state.html
2288,4,2016-11-19,2017,REG,Penn State,Duke,ACC,68,78,False,,2,2,L 1,Mohegan Sun Arena,2053,https://www.sports-reference.com/cbb/boxscores/2016-11-19-duke.html
2289,5,2016-11-20,2017,REG,Penn State,Cincinnati,AAC,50,71,False,,2,3,L 2,Mohegan Sun Arena,2054,https://www.sports-reference.com/cbb/boxscores/2016-11-20-penn-state.html
2290,6,2016-11-23,2017,REG,Penn State,Colgate,Patriot,72,59,True,,3,3,W 1,Bryce Jordan Center,2055,https://www.sports-reference.com/cbb/boxscores/2016-11-23-penn-state.html
2291,7,2016-11-26,2017,REG,Penn State,George Washington,A-10,74,68,True,,4,3,W 2,Charles E. Smith Center,2056,https://www.sports-reference.com/cbb/boxscores/2016-11-26-george-washington.html
2292,8,2016-11-29,2017,REG,Penn State,Georgia Tech,ACC,67,60,True,,5,3,W 3,Bryce Jordan Center,2057,https://www.sports-reference.com/cbb/boxscores/2016-11-29-penn-state.html
2293,9,2016-12-03,2017,REG,Penn State,Wright State,Horizon,72,50,True,,6,3,W 4,Bryce Jordan Center,2058,https://www.sports-reference.com/cbb/boxscores/2016-12-03-penn-state.html
2294,10,2016-12-07,2017,REG,Penn State,George Mason,A-10,66,85,False,,6,4,L 1,Bryce Jordan Center,2059,https://www.sports-reference.com/cbb/boxscores/2016-12-07-penn-state.html
2295,11,2016-12-10,2017,REG,Penn State,Pittsburgh,ACC,73,81,False,,6,5,L 2,Prudential Center,2060,https://www.sports-reference.com/cbb/boxscores/2016-12-10-pittsburgh.html
2296,12,2016-12-18,2017,REG,Penn State,St. John's (NY),Big East,92,76,True,,7,5,W 1,Madison Square Garden (IV),2061,https://www.sports-reference.com/cbb/boxscores/2016-12-18-st-johns-ny.html
2297,13,2016-12-21,2017,REG,Penn State,Morgan State,MEAC,96,55,True,,8,5,W 2,Bryce Jordan Center,2062,https://www.sports-reference.com/cbb/boxscores/2016-12-21-penn-state.html
2298,14,2016-12-27,2017,REG,Penn State,Northwestern,Big Ten,77,87,False,,8,6,L 1,Bryce Jordan Center,2063,https://www.sports-reference.com/cbb/boxscores/2016-12-27-penn-state.html
2299,15,2017-01-01,2017,REG,Penn State,Rutgers,Big Ten,60,47,True,,9,6,W 1,Louis Brown Athletic Center,2064,https://www.sports-reference.com/cbb/boxscores/2017-01-01-rutgers.html
2300,16,2017-01-04,2017,REG,Penn State,Michigan,Big Ten,69,72,False,,9,7,L 1,Crisler Arena,1027,https://www.sports-reference.com/cbb/boxscores/2017-01-04-michigan.html
2301,17,2017-01-07,2017,REG,Penn State,Michigan State,Big Ten,72,63,True,,10,7,W 1,The Palestra,1413,https://www.sports-reference.com/cbb/boxscores/2017-01-07-penn-state.html
2302,18,2017-01-14,2017,REG,Penn State,Minnesota,Big Ten,52,50,True,,11,7,W 2,Bryce Jordan Center,2065,https://www.sports-reference.com/cbb/boxscores/2017-01-14-penn-state.html
2303,19,2017-01-18,2017,REG,Penn State,Indiana,Big Ten,75,78,False,,11,8,L 1,Bryce Jordan Center,254,https://www.sports-reference.com/cbb/boxscores/2017-01-18-penn-state.html
2304,20,2017-01-21,2017,REG,Penn State,Purdue,Big Ten,52,77,False,,11,9,L 2,Mackey Arena,2066,https://www.sports-reference.com/cbb/boxscores/2017-01-21-purdue.html
2305,21,2017-01-24,2017,REG,Penn State,Wisconsin,Big Ten,55,82,False,,11,10,L 3,Kohl Center,2067,https://www.sports-reference.com/cbb/boxscores/2017-01-24-wisconsin.html
2306,22,2017-01-28,2017,REG,Penn State,Illinois,Big Ten,71,67,True,,12,10,W 1,Bryce Jordan Center,2068,https://www.sports-reference.com/cbb/boxscores/2017-01-28-penn-state.html
2307,23,2017-02-01,2017,REG,Penn State,Indiana,Big Ten,102,110,False,3OT,12,11,L 1,Assembly Hall,258,https://www.sports-reference.com/cbb/boxscores/2017-02-01-indiana.html
2308,24,2017-02-04,2017,REG,Penn State,Rutgers,Big Ten,68,70,False,,12,12,L 2,Bryce Jordan Center,2069,https://www.sports-reference.com/cbb/boxscores/2017-02-04-penn-state.html
2309,25,2017-02-07,2017,REG,Penn State,Maryland,Big Ten,70,64,True,,13,12,W 1,Bryce Jordan Center,651,https://www.sports-reference.com/cbb/boxscores/2017-02-07-penn-state.html
2310,26,2017-02-11,2017,REG,Penn State,Illinois,Big Ten,83,70,True,,14,12,W 2,State Farm Center,2070,https://www.sports-reference.com/cbb/boxscores/2017-02-11-illinois.html
2311,27,2017-02-14,2017,REG,Penn State,Nebraska,Big Ten,66,82,False,,14,13,L 1,Pinnacle Bank Arena,2071,https://www.sports-reference.com/cbb/boxscores/2017-02-14-nebraska.html
2312,28,2017-02-21,2017,REG,Penn State,Purdue,Big Ten,70,74,False,OT,14,14,L 2,Bryce Jordan Center,2072,https://www.sports-reference.com/cbb/boxscores/2017-02-21-penn-state.html
2313,29,2017-02-25,2017,REG,Penn State,Minnesota,Big Ten,71,81,False,,14,15,L 3,Williams Arena,2073,https://www.sports-reference.com/cbb/boxscores/2017-02-25-minnesota.html
2314,30,2017-02-28,2017,REG,Penn State,Ohio State,Big Ten,70,71,False,,14,16,L 4,Bryce Jordan Center,1770,https://www.sports-reference.com/cbb/boxscores/2017-02-28-penn-state.html
2315,31,2017-03-05,2017,REG,Penn State,Iowa,Big Ten,79,90,False,,14,17,L 5,Carver-Hawkeye Arena,2074,https://www.sports-reference.com/cbb/boxscores/2017-03-05-iowa.html
2316,32,2017-03-08,2017,CTOURN,Penn State,Nebraska,Big Ten,76,67,True,OT,15,17,W 1,Verizon Center,2075,https://www.sports-reference.com/cbb/boxscores/2017-03-08-nebraska.html
2317,33,2017-03-09,2017,CTOURN,Penn State,Michigan State,Big Ten,51,78,False,,15,18,L 1,Verizon Center,1424,https://www.sports-reference.com/cbb/boxscores/2017-03-09-michigan-state.html
2318,1,2017-11-10,2018,REG,Penn State,Campbell,Big South,86,75,True,,1,0,W 1,Bryce Jordan Center,2076,https://www.sports-reference.com/cbb/boxscores/2017-11-10-16-penn-state.html
2319,2,2017-11-12,2018,REG,Penn State,Fairleigh Dickinson,NEC,81,57,True,,2,0,W 2,Bryce Jordan Center,2077,https://www.sports-reference.com/cbb/boxscores/2017-11-12-17-penn-state.html
2320,3,2017-11-15,2018,REG,Penn State,Montana,Big Sky,70,57,True,,3,0,W 3,Bryce Jordan Center,2078,https://www.sports-reference.com/cbb/boxscores/2017-11-15-19-penn-state.html
2321,4,2017-11-17,2018,REG,Penn State,Columbia,Ivy,79,65,True,,4,0,W 4,Bryce Jordan Center,2079,https://www.sports-reference.com/cbb/boxscores/2017-11-17-19-penn-state.html
2322,5,2017-11-20,2018,REG,Penn State,Pittsburgh,ACC,85,54,True,,5,0,W 5,Barclays Center,2080,https://www.sports-reference.com/cbb/boxscores/2017-11-20-21-pittsburgh.html
2323,6,2017-11-21,2018,REG,Penn State,Texas A&M,SEC,87,98,False,,5,1,L 1,Barclays Center,2081,https://www.sports-reference.com/cbb/boxscores/2017-11-21-18-texas-am.html
2324,7,2017-11-24,2018,REG,Penn State,Oral Roberts,Summit,86,48,True,,6,1,W 1,Bryce Jordan Center,2082,https://www.sports-reference.com/cbb/boxscores/2017-11-24-15-penn-state.html
2325,8,2017-11-29,2018,REG,Penn State,North Carolina State,ACC,78,85,False,,6,2,L 1,PNC Arena,2083,https://www.sports-reference.com/cbb/boxscores/2017-11-29-19-north-carolina-state.html
2326,9,2017-12-02,2018,REG,Penn State,Iowa,Big Ten,77,73,True,,7,2,W 1,Carver-Hawkeye Arena,2084,https://www.sports-reference.com/cbb/boxscores/2017-12-02-17-iowa.html
2327,10,2017-12-04,2018,REG,Penn State,Wisconsin,Big Ten,63,64,False,,7,3,L 1,Bryce Jordan Center,2085,https://www.sports-reference.com/cbb/boxscores/2017-12-04-19-penn-state.html
2328,11,2017-12-09,2018,REG,Penn State,George Washington,A-10,74,54,True,,8,3,W 1,Bryce Jordan Center,2086,https://www.sports-reference.com/cbb/boxscores/2017-12-09-16-penn-state.html
2329,12,2017-12-17,2018,REG,Penn State,George Mason,A-10,72,54,True,,9,3,W 2,EagleBank Arena,2087,https://www.sports-reference.com/cbb/boxscores/2017-12-17-16-george-mason.html
2330,13,2017-12-19,2018,REG,Penn State,Binghamton,AEC,80,65,True,,10,3,W 3,Bryce Jordan Center,2088,https://www.sports-reference.com/cbb/boxscores/2017-12-19-19-penn-state.html
2331,14,2017-12-22,2018,REG,Penn State,Rider,MAAC,70,71,False,,10,4,L 1,Bryce Jordan Center,2089,https://www.sports-reference.com/cbb/boxscores/2017-12-22-19-penn-state.html
2332,15,2017-12-30,2018,REG,Penn State,Coppin State,MEAC,88,43,True,,11,4,W 1,Bryce Jordan Center,2090,https://www.sports-reference.com/cbb/boxscores/2017-12-30-13-penn-state.html
2333,16,2018-01-02,2018,REG,Penn State,Maryland,Big Ten,69,75,False,,11,5,L 1,Xfinity Center,676,https://www.sports-reference.com/cbb/boxscores/2018-01-02-19-maryland.html
2334,17,2018-01-05,2018,REG,Penn State,Northwestern,Big Ten,78,63,True,,12,5,W 1,Bryce Jordan Center,2091,https://www.sports-reference.com/cbb/boxscores/2018-01-05-20-penn-state.html
